,index,variable,value,iter
25,pm1,Residual,0.058053738604326055,12
26,pm25,Residual,0.06849740849249808,12
27,pm10,Residual,0.07050218200794667,12
0,co2,Factor 0,0.01821468899029896,13
1,co,Factor 0,0.9997171546046347,13
2,no2,Factor 0,0.021294620543929804,13
3,o3,Factor 0,0.05337394383099725,13
4,pm1,Factor 0,0.02361266739538038,13
5,pm25,Factor 0,0.02024212790552986,13
6,pm10,Factor 0,0.020514513637203344,13
7,co2,Factor 1,0.8969756738434722,13
8,co,Factor 1,0.00023281886765574747,13
9,no2,Factor 1,0.22147734824276585,13
10,o3,Factor 1,0.5818940925665459,13
11,pm1,Factor 1,0.6957197516199725,13
12,pm25,Factor 1,0.6747386457226168,13
13,pm10,Factor 1,0.6270361066039275,13
14,co2,Factor 2,0.08482317553674723,13
15,co,Factor 2,4.9583542500499475e-05,13
16,no2,Factor 2,0.7580053972145362,13
17,o3,Factor 2,0.2728305568677487,13
18,pm1,Factor 2,0.22506169834793074,13
19,pm25,Factor 2,0.2398020662154513,13
20,pm10,Factor 2,0.2857657710983683,13
21,co2,Residual,-1.3538370518428877e-05,13
22,co,Residual,4.4298520907037897e-07,13
23,no2,Residual,-0.000777366001231794,13
24,o3,Residual,0.09190140673470815,13
25,pm1,Residual,0.0556058826367164,13
26,pm25,Residual,0.06521716015640211,13
27,pm10,Residual,0.06668360866050083,13
0,co2,Factor 0,0.019757794428062525,14
1,co,Factor 0,0.99975612903613,14
2,no2,Factor 0,0.022420832446614695,14
3,o3,Factor 0,0.060522342556983064,14
4,pm1,Factor 0,0.023797228984396547,14
5,pm25,Factor 0,0.02111192440755627,14
6,pm10,Factor 0,0.02120329756022217,14
7,co2,Factor 1,0.9011258202059773,14
8,co,Factor 1,0.00020336093848158759,14
9,no2,Factor 1,0.21700626133470122,14
10,o3,Factor 1,0.6022164348683561,14
11,pm1,Factor 1,0.6882726263413298,14
12,pm25,Factor 1,0.6781568441583198,14
13,pm10,Factor 1,0.6664963313018992,14
14,co2,Factor 2,0.0791297808875464,14
15,co,Factor 2,4.009450606389692e-05,14
16,no2,Factor 2,0.7613098402349464,14
17,o3,Factor 2,0.2470515680398713,14
18,pm1,Factor 2,0.2333160902561113,14
19,pm25,Factor 2,0.23652921177851544,14
20,pm10,Factor 2,0.24871498259507116,14
21,co2,Residual,-1.3395521586190284e-05,14
22,co,Residual,4.15519324503677e-07,14
23,no2,Residual,-0.0007369340162624027,14
24,o3,Residual,0.09020965453478957,14
25,pm1,Residual,0.05461405441816236,14
26,pm25,Residual,0.06420201965560857,14
27,pm10,Residual,0.06358538854280738,14
0,co2,Factor 0,0.02021703105746996,15
1,co,Factor 0,0.9996354246868507,15
2,no2,Factor 0,0.023636180363323406,15
3,o3,Factor 0,0.05610280516109472,15
4,pm1,Factor 0,0.030243882007382646,15
5,pm25,Factor 0,0.027360601772100774,15
6,pm10,Factor 0,0.024764591734798492,15
7,co2,Factor 1,0.8790020920786794,15
8,co,Factor 1,0.0002911897396219943,15
9,no2,Factor 1,0.21851892485112762,15
10,o3,Factor 1,0.5904411819319069,15
11,pm1,Factor 1,0.6794019855661816,15
12,pm25,Factor 1,0.664368298453206,15
13,pm10,Factor 1,0.6399774710441789,15
14,co2,Factor 2,0.10079413509564317,15
15,co,Factor 2,7.292596829210817e-05,15
16,no2,Factor 2,0.7585406263082395,15
17,o3,Factor 2,0.2619753410160056,15
18,pm1,Factor 2,0.23937535236276314,15
19,pm25,Factor 2,0.2478088561432187,15
20,pm10,Factor 2,0.2764902037331051,15
21,co2,Residual,-1.3258231792434572e-05,15
22,co,Residual,4.596052352034974e-07,15
23,no2,Residual,-0.0006957315226905347,15
24,o3,Residual,0.09148067189099285,15
25,pm1,Residual,0.050978780063672735,15
26,pm25,Residual,0.060462243631474566,15
27,pm10,Residual,0.05876773348791753,15
0,co2,Factor 0,0.019479968153560165,16
1,co,Factor 0,0.9997815610048357,16
2,no2,Factor 0,0.021458052390781693,16
3,o3,Factor 0,0.055467996128111506,16
4,pm1,Factor 0,0.02011744957868834,16
5,pm25,Factor 0,0.016302756901334127,16
6,pm10,Factor 0,0.018439688814118185,16
7,co2,Factor 1,0.9068247230972579,16
8,co,Factor 1,0.00018287379888995978,16
9,no2,Factor 1,0.220363334320327,16
10,o3,Factor 1,0.6025745698341661,16
11,pm1,Factor 1,0.7244966343366388,16
